"Name","mmax","Mmax","R.A.","Dec.","z","Type"
"SDSS-II SN 2806","21.2","-19.55","03:01:04.06,03:01:04.056","+00:16:25.1,+00:16:25.414,+00:16:25.097","0.301","Ia"
"SDSS-II SN 3361","21.26","","02:34:07.968,02:34:07.92","+01:10:26.004,+01:10:25.752","","Ia"
"SDSS-II SN 4557","22.02","-18.67","01:55:10.8,01:55:10.752","+00:16:04.3572,+00:16:04.3752,+00:16:04.0152","0.294","Ia"
"SDSS-II SN 4808","21.75","-19.3291","02:20:16.653,02:20:16.656","+00:24:41.18,+00:24:41.159,+00:24:40.903","0.34916","Ib/c"
"SDSS-II SN 6883","22.17","","21:18:14.4","+00:52:58.465,+00:52:58.055","","Ia"
"SDSS-II SN 7194","21.76","-19.4149","02:28:38.59,02:28:38.712,02:28:38.688","-00:28:09.6,-00:28:10.0272,-00:28:10.2972","0.364341","Ia"
"SDSS-II SN 7611","21.82","","23:41:23.52","-01:11:28.428,-01:11:28.716","","Ia"
"SDSS-II SN 7707","22","-17.9539","00:35:07.1688,00:35:07.1616","-01:11:22.596,-01:11:22.848","0.21167","Ia"
"SDSS-II SN 8607","21.24","-19.2","21:34:20.872,21:34:20.88","+00:09:07.05,+00:09:06.876,+00:09:07.0452,+00:09:07.1136,+00:09:06.858","0.26,0.26","Ia"
"SDSS-II SN 8662","22.13","-20.0012","02:29:46.44,02:29:46.584,02:29:46.56","-00:28:58.2,-00:28:54.9552,-00:28:55.38","0.55816","Ia"
"SDSS-II SN 9133","20.94","-19.5386","01:06:34.191,01:06:34.2,01:06:34.176","+00:27:39.12,+00:27:39.121,+00:27:39.2,+00:27:38.833","0.267374","Ia"
"SDSS-II SN 9275","22.29","","22:15:34.8","-00:11:12.1452,-00:11:12.3396","","Ia"
"SDSS-II SN 9353","22.25","","23:31:08.16","+00:41:57.894,+00:41:57.656","","Ia"
"SN2005im","20.64","-18.0515","00:36:02.88,00:36:02.8704,00:36:02.81,00:36:02.8584,00:36:02.87","-00:50:06.0,+00:50:05.928,+00:50:06.7,+00:50:05.6616,+00:50:06.0","0.120282","Ib/c"
"SN2005P","17.82","-15","14:06:34.01","-05:27:42.6","0.00948","Ia-02cx"
"SN2006bu","18.1","-19.7955","13:52:47.81","+05:18:49.4","0.084001","Ia"
"SN2006ke","18.3","-16.6","05:52:37.38","+66:49:00.5","0.017182","Ia"
"SN2006qh","20.53","-18.275","21:47:53.02,21:47:53.04","+00:42:24.6,+00:42:24.62,+00:42:24.606,+00:42:24.289","0.1266","Ia"
"SN2006qm","20.63","-18.4022","02:42:24.07,02:42:24.072,02:42:24.048","-00:47:47.5,-00:47:47.472,-00:47:47.4864,-00:47:47.7816","0.14017","Ia"
"SN2006sd","21.34","-19.234","01:14:24.155,01:14:24.15,01:14:24.151","+01:02:39.45,+01:02:39.4,+01:02:39.488","0.28,0.2789","Ia"
"SN2006sf","22.4","-19.735","02:08:11.654,02:08:11.65,02:08:11.658","-03:51:40.19,-03:51:40.2,-03:51:40.230","0.5591,0.5616","Ia"
"SN2006si","22.45","-19.612","02:09:51.327,02:09:51.33,02:09:51.320","-03:43:32.48,-03:43:32.5,-03:43:32.520","0.5411,0.5424","Ia"
"SN2007ng","21.57","-19.8218","02:25:37.94,02:25:38.112,02:25:38.088,02:25:38.10","+00:42:32.0,+00:42:34.456,+00:42:34.16,+00:42:34.5","0.401237,0.4","Ia?"
"SN2007of","21.99","-19.38","21:04:56.27,21:04:56.16","+00:03:39.6,+00:03:39.57,+00:03:39.5","0.397","Ia"
"SN2007ox","20.85","-19.11","22:46:58.08","-00:04:18.5,-00:04:18.948,-00:04:18.5592,-00:04:18.966","0.212,0.203","Ia?"
"SN2007sc","21.24","-19.2497","02:15:11.88,02:15:11.87,02:15:11.832","+00:32:09.258,+00:32:09.3,+00:32:08.862","0.268693,0.27","Ia"
"SN2007si","19.84","-19.0249","01:59:51.288,01:59:51.144,01:59:51.12,01:59:51.14","+01:12:59.84,+01:12:59.256,+01:12:59.004,+01:12:59.3","0.130028,0.13","Ia"
"SN2008fv","14.84","-18.07","10:16:57.28,10:16:57.36","+73:24:36.4,+73:24:35.64","0.0094,0.0099","Ia"
"SN2009hp","16.5","-18.36","02:58:23.96,02:58:23.938","+06:35:35.1,+06:35:34.64","0.0211,0.0204,0.0211","Ia"
"SNLS-05D2ay","23.36","-19.669","10:01:08.319","+02:07:49.16,+02:07:49.160","0.8387","Ia"
"SNLS-05D2ck","23.46","-19.17","10:00:45.201","+02:34:22.26,+02:34:22.260","0.698,0.698","Ia"
"SNLS-05D3dh","23.04","-20","14:20:50.403","+52:39:45.79,+52:39:45.790","0.8,0.8","Ia"
"ASASSN-14ar","16.2","-18.85","09:09:41.70,09:09:41.76","+37:36:06.5,+37:36:07.56","0.02298","Ia-91bg"
"OGLE-2014-SN-048","19.88","","23:58:45.28","-66:29:01.8","","Ia"
"PS1-11aac","22.46","-19.9","14:15:17.287,14:15:17.288","+54:17:56.14","0.63","Ia"
"PS1-12cb","22.5","-19.4","08:45:20.727,08:45:20.728","+44:14:20.57","0.51","Ia"
"PS1-12sx","21.53","-19.5","08:49:31.040,08:49:31.041","+45:00:07.81","0.34","Ia"
"PS1-14fq","17.01","-18.21","05:47:49.97","+58:07:22.4","0.0248","Ia"
"PS1-14ny","18.8","-19","15:25:50.13","-25:02:52.6","0.09","Ia"
"PSc010430","21.62","","08:45:12.962","+43:52:36.68","","Ia"
"PSc040313","22.34","-18.1254","12:16:25.190","+48:21:56.92","0.26581","Ia"
"PSc040473","20.04","-19.3024","10:58:22.121","+58:28:59.26","0.16108","Ia"
"PSc050617","21.86","-19.402","14:18:25.922","+53:54:43.07","0.3788","Ia"
"PSc090191","13.89","-27.5864","08:41:34.610","+43:37:18.26","0.41664","Ia"
"PSc100164","22.42","-18.9921","02:21:28.917","-05:01:34.02","0.40488","Ia"
"PSc100382","22.03","-19.2372","08:42:02.297","+42:52:14.88","0.37961","Ia"
"PSc120635","22.4","","10:02:23.325","+01:19:48.20","","Ia"
"PSc130601","22.76","-19.3683","08:48:48.305","+44:42:23.20","0.55744","Ia"
"PSc130684","22.24","-19.2202","10:40:00.965","+58:37:26.40","0.41363","Ia"
"PSc150217","22.55","-19.1539","10:51:30.646","+56:51:37.87","0.46108","Ia"
"PSc150709","22.7","-19.3918","10:50:13.385","+57:04:15.09","0.54839","Ia"
"PSc160054","22.54","-18.8412","12:25:25.032","+46:25:33.91","0.39935","Ia"
"PSc160223","22.48","-19.4918","12:18:53.372","+47:01:44.54","0.51968","Ia"
"PSc170520","22.22","-19.4216","16:17:06.398","+55:20:48.98","0.44844","Ia"
"PSc190074","22.82","-18.0105","16:05:37.329","+55:48:20.54","0.31264","Ia"
"PSc190233","22.86","-19.4522","16:10:34.655","+55:18:49.24","0.60547","Ia"
"PSc200106","22.66","-19.0509","22:15:07.930","+01:04:06.65","0.46251","Ia"
"PSc310095","22.76","-18.902","02:19:54.685","-04:24:54.85","0.4526","Ia"
"PSc330015","21.32","-19.3697","23:27:05.015","+00:09:01.67","0.29368","Ia"
"PSc350288","22.89","-19.3038","09:57:19.012","+01:18:36.10","0.57406","Ia"
"PSc350637","22.42","-19.2521","10:51:04.923","+59:13:58.34","0.45459","Ia"
"PSc360154","22.6","-18.9301","09:55:18.524","+01:31:52.39","0.42671","Ia"
"PSc370034","22","-19.2183","08:42:01.566","+44:18:40.75","0.37145","Ia"
"PSc390040","22.51","-19.6755","12:18:19.308","+46:10:23.28","0.57192","Ia"
"PSc390574","21.87","-19.3029","14:11:00.588","+53:36:49.73","0.36402","Ia"
"PSc390610","22.29","-19.734","12:21:36.808","+47:40:17.60","0.53197","Ia"
"PSc420206","22.36","-19.5417","23:34:00.003","-00:18:07.91","0.50365","Ia"
"PSc470110","21.64","","03:28:16.936","-28:37:23.97","","Ia"
"PSc470233","22.46","-19.0782","08:43:22.136","+45:21:46.47","0.42825","Ia"
"PSc480371","22.68","-19.2186","12:18:09.181","+46:27:05.38","0.50294","Ia"
"PSc480427","22.24","","12:26:21.785","+46:42:40.95","","Ia"
"PSc480635","21.84","-20.1203","09:59:56.024","+02:33:33.52","0.51702","Ia"
"PSc480643","22.83","-18.5228","10:41:15.612","+58:13:13.04","0.39434","Ia"
"PSc490156","22.56","-17.4858","10:04:06.306","+01:32:33.88","0.22052","Ia"
"PSc500362","22.33","-19.6282","12:14:52.473","+47:28:20.19","0.51653","Ia"
"PSc520021","22.3","-19.1374","12:12:30.536","+46:58:50.78","0.40947","Ia"
"PSc520041","22.67","-19.4081","12:16:33.213","+45:57:43.35","0.54502","Ia"
"PSc520061","22.61","-19.3775","14:08:58.317","+52:41:05.56","0.52336","Ia"
"PSc530115","21.87","-18.8797","16:12:09.775","+55:57:55.95","0.30161","Ia"
"PSc560075","21.89","-19.1744","22:16:52.698","+01:07:19.09","0.34688","Ia"
"PSc580285","22.08","-18.0747","03:37:37.944","-28:09:20.39","0.23148","Ia"
"PSc590191","20.91","-19.1399","10:00:33.072","+01:54:14.41","0.22093","Ia"
"PSc590248","21.55","-19.2707","08:40:23.485","+43:52:53.35","0.31128","Ia"
"PTF10ncz","20.43","-19","15:36:34.39,15:36:34.32","+60:44:28.9,+60:44:28.68","0.17","Ia"
"PTF10wnq","18.31","-19.15","00:49:10.10,00:49:09.816","+32:08:14.3,+32:08:19.32","0.0691,0.0691","Ia"
"PTF10xtu","19.27","-19.2","01:06:48.77,01:06:48.768","+27:32:03.7,+27:32:03.84","0.11","Ia"
"PTF11ctn","18.55","-19.2","14:06:53.37,14:06:53.28","+40:13:13.9,+40:13:13.8","0.079","Ia"
"PTF11ecn","19.91","-17.3","16:55:47.59,16:55:47.52","+37:59:32.7,+37:59:32.64","0.062","Ia"
"PTF11glq","20.34","-18.93","16:31:00.14,16:31:00.24","+21:16:53.6,+21:16:53.76","0.156","Ia"
"PTF11rnq","20.32","-18.76","02:23:30.91,02:23:30.962,02:23:30.90,02:23:22.71","-02:51:37.9,-02:51:37.60,-02:40:37.4","0.143","Ia"
"SN2010el","16.3","-13","04:19:58.83","-54:56:38.5","0.005,0.005","Ia-02cx"
"SN2011gs","","","04:21:09.99,04:21:09.98,04:21:10.008","+13:28:04.4,+13:28:04.44","0.027","Ia"
"SN2013bt","17.28","-18.7784","14:21:15.13","+61:34:15.9","0.036446","Ia"
"ASASSN-15ts","17.3","-19.8523","03:34:42.020,03:34:42.02,03:34:42.024","-20:50:47.04,-20:50:47.0","0.059978","Ia"
"AT2019zg","17.51","-19.2469","12:55:42.325","+46:46:53.12","0.050109","Ia"
"CSS150117:104148-014721","19.4","-19.3","10:41:47.99,10:41:48.00","-01:47:21.2,-01:47:21.3,-01:47:22.3","0.12","Ia"
"CSS150209:135346+352954","18.8","-19","13:53:45.91,13:53:45.88","+35:29:54.5,+35:29:53.6","0.1","Ia"
"Gaia19ffp","16.71","-18.782","09:04:07.858,09:04:07.92","+39:40:42.10,+39:40:42.24","0.028136","Ia"
"PS15ckm","20.83","-17","09:43:47.15,09:43:47.16","-02:10:13.3,-02:10:13.2","0.08","Ia"
"PS15jz","17.67","-18.4","10:42:43.24","+77:29:27.2","0.036","Ia"
"SN2015ax","17.2","-19.7","01:18:15.60,01:18:15.59","+15:05:58.8,+15:05:57.9","0.054","Ia"
"SN2016ajm","16.9","-17.99","02:49:36.01,02:49:36","-31:13:23.9,-31:13:24.24","0.0214","Ia-p"
"SN2016ajr","20.42","-19","07:53:56.65,07:53:56.63","+33:01:00.5,+33:01:00.4","0.17","Ia"
"SN2016bbb","19.21","-18","15:20:53.20,15:20:53.19","-26:11:24.3","0.07","Ia"
"SN2016cfq","18.58","-19","18:23:17.70","+27:13:37.1","0.07","Ia"
"SN2016csd","16.97","-19.2","02:00:44.960,02:00:45.024","-46:16:49.05,-46:16:49.08","0.039","Ia"
"SN2016emr","16.61","-19","05:59:58.062,05:59:58.056","-18:05:22.27,-18:05:22.2","0.03","Ia"
"SN2016ep","18.92","-19.1","12:07:06.146,12:07:06.13","+09:24:03.18,+09:24:03.1","0.088","Ia"
"SN2016eyr","15.93","-19.62","02:56:05.810,02:56:05.808","-14:11:18.62,-14:11:19.32","0.0289","Ia"
"SN2016gcr","18.81","-18.5","22:32:17.210,22:32:17.20","-23:42:09.04,-23:42:09.0","0.065","Ia"
"SN2016gdm","18.97","-18.6","00:07:34.050,00:07:34.04","+31:56:55.42,+31:56:55.3","0.073","Ia"
"SN2016hnl","16.88","-18.8671","06:04:59.050,06:04:59.088","-33:24:40.01,-33:24:40.32","0.031615","Ia"
"SN2016ilf","18.9","-17.7","02:35:20.630,02:35:20.65","+35:11:30.20,+35:11:30.0","0.047,0.045","Ia-02cx"
"SN2016iqx","16.7","-18.9475","06:46:51.440,06:46:51.36","-64:57:25.81,-64:57:25.56,-64:57:25.92","0.030208","Ia"
"SN2016jaw","17.98","-18.4","08:48:21.890,08:48:21.89","+24:31:51.93,+24:31:51.6","0.043","Ia"
"SN2017ae","16.35","-18.6","02:05:50.620,2:05:50.652,02:05:50.64,02:05:50.592","+18:22:30.23,+18:22:30.468,+18:22:30.72,+18:22:32.16","0.022","Ia"
"SN2017cue","18.11","-18.4","22:11:26.611,22:11:26.64","-18:21:52.70,-18:21:52.56","0.045","Ia"
"SN2017ddf","19.26","-18.4","18:53:27.820,18:53:27.82","+28:57:06.11,+28:57:06.0","0.075","Ia"
"SN2017dez","17.91","-18.5","16:27:30.920,16:27:30.97","+49:41:44.66,+49:41:44.6","0.043","Ia"
"SN2017dfo","17.03","-18.9983","09:20:38.120,09:20:38.01,09:20:38.16","-29:57:02.35,-29:57:02.8,-29:57:03.6","0.035948","Ia"
"SN2017dhp","18.18","-18.7","11:54:14.380,11:54:14.37","+11:45:40.59,+11:45:40.6","0.052","Ia"
"SN2017ebm","16.7","-17.6572","13:23:19.100,13:23:19.2","-19:37:17.07,-19:37:17.4","0.016732","Ia"
"SN2017evc","17.84","-18.9","21:17:50.880,21:17:50.87","-25:06:23.97,-25:06:23.3","0.049","Ia-91T"
"SN2017fne","18.97","-18","18:45:42.910,18:45:42.91","+28:35:05.86,+28:35:05.8","0.056","Ia"
"SN2017fwa","17.73","-17.7485","22:19:14.200,22:19:14.20,22:19:14.16","-28:24:11.41,-28:24:11.5,-28:24:11.52","0.027963","Ia"
"SN2017gwy","16.52","-19.1029","22:23:34.517,22:23:34.56","+11:51:35.85,+11:51:36","0.029871","Ia"
"SN2017gzx","17.44","-20","14:42:51.244,14:42:51.36","+32:59:50.83,+32:59:51","0.0682","Ia"
"SN2017heg","17.77","-18.8","23:07:17.810,23:07:17.79","-17:28:52.55,-17:28:52.3","0.045","Ia"
"SN2017ige","16.9","-18.2734","12:25:32.233,12:25:32.16","+50:02:08.27,+50:02:08.52,+50:02:08.16","0.024319","Ia"
"SN2017iuv","18.31","-18.5","04:31:41.640,04:31:41.63","-21:08:52.10,-21:08:52.3","0.051","Ia"
"SN2017jym","18.08","-18.2329","05:46:02.510,05:46:02.52,05:46:02.51","-25:39:06.83,-25:39:06.48,-25:39:06.6","0.040932","Ia"
"SN2017mt","18.9","-19.3","09:59:44.710,9:59:44.7168,09:59:44.73","+27:38:55.44,+27:38:55.446,+27:38:54.5","0.096","Ia"
"SN2017on","18.47","-17.5","04:09:46.891,04:09:46.896,04:09:46.89","+24:53:46.82,+24:53:46.68,+24:53:46.7","0.035","Ia"
"SN2017pp","17.1","-18.53","12:44:41.020,12:44:40.92","+10:20:41.40,+10:20:40.3","0.0299","Ia-91T"
"SN2017tn","20.92","-19.16","13:04:59.530,13:04:59.52","-05:53:54.67,-05:53:54.7","0.224","Ia"
"SN2017zv","19.5","-18.2","11:45:02.670,11:45:02.66","-11:41:05.83,-11:41:05.8","0.076","Ia"
"SN2018bak","19.03","-19","10:24:48.050,10:24:48","-02:30:35.64","0.088","Ia"
"SN2018bfc","16.9","-19.0233","23:22:58.447,23:22:58.49,23:22:58.56","-01:01:39.18,-01:01:39.0","0.034266","Ia"
"SN2018bsn","17.5","-19.6","14:57:28.680,14:57:28.61","+05:50:33.10,+05:50:32.2","0.059","Ia"
"SN2018bta","18.07","-16.62","16:57:58.750,16:57:58.56","-62:43:53.70,-62:43:54.12","0.0195","Ia"
"SN2018bul","17.76","-19.2","18:42:18.927,18:42:18.96","-55:39:11.77,-55:39:11.88","0.056","Ia"
"SN2018cgf","18.27","-17","23:37:09.710,23:37:09.6","+26:15:34.35,+26:15:34.2","0.03","Ia"
"SN2018dsv","17.48","-19","17:11:13.490,17:11:13.48","+38:35:25.95,+38:35:25.8","0.04","Ia"
"SN2018ebs","17.15","-18","21:39:37.620,21:39:37.59,21:39:37.68","+08:56:39.78,+08:56:39.7,+08:56:39.696","0.03","Ia"
"SN2018euz","15.79","-20.4","16:14:33.770,16:14:33.84","+36:56:36.24","0.038","Ia"
"SN2018exb","17.05","-19.6","21:13:08.540,21:13:08.64,21:13:08.58","-20:42:38.90,-20:42:38.88,-20:42:38.5","0.047","Ia"
"SN2018fer","17.62","-21.34","20:33:05.240,20:33:05.28","-20:51:24.18,-20:51:24.48","0.136","Ia"
"SN2018fqz","17.24","-18.8363","06:52:21.448,06:52:21.36","+27:28:14.63,+27:28:14.52","0.036745","Ia"
"SN2018fub","17.01","-18.53","00:40:30.674,00:40:30.744,00:40:30.672","-50:41:15.08,-50:41:15.36,-50:41:15","0.0288","Ia"
"SN2018geo","16.62","-19.087","16:18:13.840,16:18:13.92","+39:07:25.74,+39:07:25.68","0.03104","Ia"
"SN2018gvi","17.17","-17.6733","02:55:36.030,02:55:36.02","+43:03:27.32,+43:03:27.3","0.020908","Ia"
"SN2018huz","18.53","","01:57:55.930","-16:20:08.93","-0.000334","Ia"
"SN2018ixw","18.49","-19.4088","01:51:55.740,01:51:55.75","+14:51:05.67,+14:51:05.7","0.084127","Ia"
"SN2018jgn","17.3","-20.0826","00:02:56.004,00:02:55.89,00:02:55.84","-26:54:52.96,-26:54:52.2,-26:54:51.12","0.066586","Ia"
"SN2018jgx","18.63","-19","02:06:23.819,02:06:23.82","-13:22:24.88,-13:22:25.2","0.08","Ia"
"SN2018jhb","18.69","-18.9","10:39:49.066,10:39:48.96","+47:36:03.28,+47:36:03.24","0.072","Ia"
"SN2018jti","18.02","-18.3799","09:48:58.359,09:48:58.35","+13:59:03.70,+13:59:03.7","0.042589","Ia"
"SN2019abf","18.76","-18.7697","13:20:30.158,13:20:30.16","+11:32:47.14,+11:32:47.3","0.071179","Ia"
"SN2019aki","18.33","-19.3","11:43:11.527,11:43:11.54","-08:37:23.22,-08:37:23.9","0.075","Ia"
"SN2019aqm","18.54","-19","15:27:59.863,15:27:59.88","+09:34:28.61,+09:34:28.6","0.071","Ia"
"SN2019arb","16.56","-17.3607","12:19:31.228,12:19:31.2","+49:48:50.97,+49:48:50.76","0.013696","Ia"
"SN2019avp","18.13","-18.9","13:21:19.471,13:21:19.44","+52:46:42.80,+52:46:42.96","0.058","Ia"
"SN2019bar","18.41","-18.8615","16:24:59.466,16:24:59.46","+23:10:32.71,+23:10:32.3","0.063312","Ia"
"SN2019bka","15.7","-19.4","11:44:25.797,11:44:25.68,11:44:25.757","+19:42:48.20,+19:42:48.24,+19:42:47.95","0.024","Ia-91T"
"SN2019bth","17.94","-19.0782","13:31:06.868","+37:14:54.55","0.056431","Ia"
"SN2019cex","17.9","-19","10:04:15.553,10:04:15.6,10:04:15.55","-08:02:11.71,-08:02:11.796,-08:02:11.7","0.05","Ia"
"SN2019dwp","18.62","-19","14:34:48.169,14:34:48,14:34:48.12","+74:46:19.45,+74:46:19.92,+74:46:19.8","0.07","Ia"
"SN2019etc","17.52","-19.3","21:06:08.112,21:06:08.16","+14:58:53.94,+14:58:53.76","0.052","Ia"
"SN2019fjt","18.15","-18.7554","10:36:32.670,10:36:32.67","+45:16:46.70,+45:16:46.5","0.053611","Ia"
"SN2019fzl","19.18","-18.7","15:27:06.270,15:27:06.2736,15:27:06.29","+02:34:27.97,+02:34:27.9728,+02:34:28.5","0.083","Ia"
"SN2019hgv","17.22","-18.3","00:49:07.019,00:49:07.032","-13:46:02.08,-13:46:02.28","0.029","Ia"
"SN2019hnn","18.8","-19","12:42:45.698,12:42:45.6,12:42:45.63","+73:48:44.92,+73:48:45.72,+73:48:45.6","0.08","Ia"
"SN2019htb","18.28","-19","13:34:05.476,13:34:05.52","-18:34:55.10,-18:34:55.2","0.07","Ia"
"SN2019jzt","18.9","-19","00:54:32.224","+34:22:41.67","0.08","Ia-91T"
"SN2019khf","15.23","-18.7002","11:41:27.530,11:41:27.6","-38:38:03.10,-38:38:03.12","0.013756","Ia"
"SN2019kyy","17.86","-18.5","22:09:22.010,22:09:22.08","+44:58:30.00,+44:58:30","0.041","Ia"
"SN2019lme","18.85","-19","17:49:29.154,17:49:29.04","+58:34:09.77,+58:34:09.84","0.09","Ia"
"SN2019lrv","18.12","-18.782","16:02:05.741,16:02:05.76","+52:26:39.25,+52:26:38.76","0.05352","Ia"
"SN2019mcw","17.81","-18.7","05:06:36.396,05:06:36.408","+07:35:44.23,+07:35:44.412","0.045","Ia"
"SN2019obe","17.28","-19.7","07:00:11.224,07:00:11.28","+32:53:45.47,+32:53:45.6","0.056","Ia"
"SN2019ond","18.06","-19.3","17:02:30.698,17:02:30.72","+41:13:09.83,+41:13:09.84","0.065","Ia-91T"
"SN2019ons","17.24","-18.8387","21:54:05.051,21:54:05.04","-16:09:34.28,-16:09:34.2","0.036785","Ia"
"SN2019ovi","18.49","-18.2","17:45:20.137,17:45:20.16","+44:24:31.98,+44:24:32.04","0.048,0.089","Ia"
"SN2019qe","19.33","-18.2444","09:34:21.706,09:34:21.70","+14:29:17.88,+14:29:17.9","0.072637","Ia"
"SN2019qqm","16.7","-20","15:30:26.878,15:30:26.88","+36:44:20.23,+36:44:20.04","0.05","Ia"
"SN2019qvf","16.98","-19.6","15:58:36.447,15:58:36.48","+44:54:07.49,+44:54:07.56","0.047,0.091","Ia"
"SN2019san","18.59","-18.7","21:43:56.192,21:43:56.16","+33:34:25.82,+33:34:26.04","0.065","Ia"
"SN2019slu","16.81","-19.0107","16:50:48.491,16:50:48.48","+28:51:03.04,+28:51:03.24","0.032696","Ia"
"SN2019spu","18.72","-19.4","20:34:40.110,20:34:40.08","-27:33:58.38,-27:33:58.32","0.093","Ia"
"SN2019uhz","17.42","-19.3826","01:47:13.970,01:47:13.968","-08:27:41.10,-08:27:40.896","0.051162","Ia"
"SN2019uoo","16.92","-17.083","08:38:45.662,08:38:45.6","-14:40:48.71,-14:40:48.72","0.014223","Ia"
"SN2019upw","15.56","-18.9813","00:26:15.505,00:26:15.487","+21:48:35.90,+21:48:36","0.018206","Ia"
"SN2019vju","16.17","-17.6155","11:04:00.190,11:04:00.24","-18:46:35.80,-18:46:35.4","0.012872","Ia"
"SN2019vlh","18.1","-19","21:33:36.812,21:33:36.72","+14:34:31.75,+14:34:31.8","0.06","Ia"
"SN2019voo","16.94","-17.014","12:19:42.531,12:19:42.48","-12:13:32.63,-12:13:32.52","0.01391","Ia"
"SN2019vrp","17.52","-18.6907","01:07:21.322,01:07:21.384,01:07:21.312","+09:45:36.85,+09:45:36.468,+09:45:36.864","0.039069","Ia"
"SN2019wps","18.01","-17.748","23:33:17.319,23:33:17.28","+30:50:22.38,+30:50:22.56","0.03178","Ia"
"SN2019xfx","17.91","-19.1","02:24:13.198,02:24:13.176","-10:30:15.54,-10:30:15.48","0.055,0.056","Ia"
"SN2019yvw","17.93","-19","15:38:25.660,15:38:25.68","+13:30:18.35,+13:30:18.36","0.055","Ia"
"AT2020nbo","18.58","","15:58:14.123,15:58:14.16","+18:06:09.97,+18:06:10.08","","Ia"
"SN1966K","17.6","-18.79","11:18:14,11:18:14.5,11:18:14.74","+28:16.8,+28:16:51.0,+28:15:52.8","0.0424,0.0429","Ia"
"SN1975A","14.4","-16.6","06:16:26,06:16:26.3,06:16:26.26","-21:21.4,-21:21:24.0,-21:21:26.7","0.00897,0.0105","Ia"
"SN2020aan","18.4","-19.5","17:12:48.970,17:12:48.96","+79:03:41.55,+79:03:41.76","0.086","Ia"
"SN2020ap","18.25","-18.4","03:45:22.602,03:45:22.608","+04:16:13.11,+04:16:13.152","0.048","Ia"
"SN2020av","17.97","-18.6914","12:41:22.928,12:41:23.04","-11:09:20.91,-11:09:20.88","0.047977","Ia"
"SN2020bid","16.76","-18.66","20:07:28.888,20:07:28.8","+51:52:14.88","0.02723","Ia"
"SN2020bqq","18.38","-21.36","23:22:39.347,23:22:39.36","+21:11:11.44,+21:11:11.76","0.192","Ia"
"SN2020dgc","18.1","-18.7522","15:13:54.984,15:13:54.96","+52:43:22.82,+52:43:22.8","0.052328","Ia"
"SN2020dic","17.4","-19","11:55:54.336,11:55:54.48","+80:12:33.61,+80:12:33.84","0.04","Ia"
"SN2020du","16.91","-17.9312","01:21:57.454,01:21:57.456","+50:02:47.89,+50:02:47.76","0.020888","Ia"
"SN2020dvr","16.2","-17.6","09:54:35.137,09:54:35.04","-19:53:14.27,-19:53:14.28","0.013","Ia"
"SN2020hvc","17.94","-19.4","09:13:38.138,09:13:38.16","+13:19:53.99,+13:19:53.76","0.065","Ia"
"SN2020jit","17.89","-18","23:35:42.829,23:35:42.72","+47:15:10.55,+47:15:10.44","0.04","Ia"
"SN2020jnr","17.9","-18.4","13:24:07.345,13:24:07.44","+62:25:37.93,+62:25:37.92","0.041","Ia"
"SN2020lil","17.76","-17.923","14:37:59.670,14:37:59.76","+09:23:18.78,+09:23:18.744","0.030703","Ia"
"SN2020mvp","18.8","-17.237","14:35:46.545,14:35:46.56","+24:43:34.40,+24:43:34.32","0.036091","Ia"
"SN2020npb","17.27","-18.906","17:59:58.223,17:59:58.32","+44:51:45.50,+44:51:45.72","0.03846","Ia"
"SN2020nvt","18.55","-19","12:12:11.617,12:12:11.52","+56:41:59.72,+56:41:59.64","0.09","Ia"
"SN2020oo","18.45","-18.24","17:19:06.183,17:19:06.24","+25:27:20.23,+25:27:20.16","0.0486","Ia"
"SN2020pc","18.93","-19.3","04:13:26.038,04:13:26.016","-05:36:12.27,-05:36:12.456","0.097","Ia-91T"
"SN2020pmy","18.68","-19","00:31:25.704,00:31:25.711","-12:27:24.39,-12:27:24.48","0.07","Ia"
"SN2020prg","18.44","-19","00:50:22.749,00:50:22.728","-20:12:56.06,-20:12:56.16","0.08","Ia"
"SN2020qlr","18.8","-19.2","17:28:52.917,17:28:52.8","+57:55:05.10,+57:55:05.16","0.087","Ia"
"SN2020qts","17.93","-17.6","02:56:08.611,02:56:08.592","+16:10:40.71,+16:10:40.8","0.028","Ia"
"SN2020rqk","16.2","","16:00:58.450,16:00:58.56","+70:36:15.05,+70:36:15.12","","Ia"
"SN2020saf","16.26","-19.1448","18:06:27.839,18:06:27.84","+46:32:27.57,+46:32:27.6","0.027035","Ia"
"SN2020se","16.2","-19.5591","03:37:48.714,03:37:48.696","+03:16:19.70,+03:16:19.56,+03:16:19.596","0.031789","Ia"
"SN2020skn","18.78","-19","17:55:30.313,17:55:30.24","+30:13:20.17,+30:13:19.92","0.07","Ia"
"SN2020skp","18.45","-18.68","01:22:46.688","+10:01:52.94","0.0595","Ia"
"SN2020tpn","19.2","-18.9","23:50:58.471","+20:27:20.02","0.093","Ia"
"SN2020uem","16.41","-20.1","08:24:23.863,08:24:23.76,08:24:23.854","-03:29:19.11,-03:29:19.104,-03:29:19.08","0.045,0.041","Ia"
"SN2020uwr","18.98","-19.1","23:57:03.516","+17:54:14.49","0.091","Ia"
"SN2020uxz","13.5","-19.316","01:24:06.888","+12:55:17.31","0.008246","Ia"
"SN2020wtw","17.46","-18.7475","16:47:44.670,16:47:44.64","+40:58:38.39,+40:58:38.46,+40:58:38.28","0.039012,0.039012","Ia"
